site,Y,X
N20,-08.517394,-61.633704
N23,-08.558477,-61.637915
N24,-08.570001,-61.640840
N22,-08.546013,-61.636949
N21,-08.529667,-61.635336
N03,-08.488448,-61.666348
CL26,-08.458254,-61.653539
GM13,-08.434629,-61.647003
GM16,-08.422129,-61.650071
GM08,-08.416393,-61.661981
GM12,-08.427388,-61.662047
GM19,-08.433038,-61.675039
GM18,-08.444727,-61.636534
GM14,-08.435365,-61.629965
CF05,-08.446447,-61.649645
GM10,-08.404354,-61.620387
GM09,-08.406083,-61.636761
GM02,-08.402443,-61.651485
GM03,-08.392142,-61.640020
GM100,-08.380214,-61.632851
GM101,-08.391084,-61.654370
GM11,-08.417830,-61.624841
GM17,-08.421973,-61.638524
GM07,-08.415896,-61.611602
N09,-08.501451,-61.661002
N10,-08.513981,-61.662783
N11,-08.526478,-61.664277
N12,-08.539526,-61.665478
N13,-08.551641,-61.667768
GM20,-08.439122,-61.661192
GM06,-08.399656,-61.606273
GM04,-08.392308,-61.625538
GM05,-08.386141,-61.613970
GM102,-08.372205,-61.615716
GM107,-08.369630,-61.638528
GM103,-08.366297,-61.629026
GM105,-08.356492,-61.621392
GM104,-08.359752,-61.611105
GM106,-08.356277,-61.602135
N25,-08.522806,-61.620443
N26,-08.532513,-61.621227
N27,-08.545888,-61.623280
N28,-08.558465,-61.624320
N16,-08.517591,-61.647280
N17,-08.530233,-61.649912
N29,-08.522371,-61.604159
N30,-08.534430,-61.606767
N37,-08.482335,-61.650464
GM15,-08.464150,-61.665494
GM01,-08.475478,-61.660143
N43,-08.501586,-61.597948
N42,-08.496340,-61.607010
N41,-08.509542,-61.610930
N40,-08.506731,-61.623745
CF06,-08.495830,-61.618751
N39,-08.490727,-61.633810
N38,-08.478745,-61.632438
N32,-08.556388,-61.609402
N31,-08.545236,-61.608119
N33,-08.565476,-61.612688
N02,-08.484166,-61.678944
CL27,-08.447566,-61.677126
N01,-08.470286,-61.675353
GM21,-08.453470,-61.663242
N36,-08.471495,-61.642408
N08,-08.494381,-61.653058
N53,-08.492701,-61.691584
N50,-08.506476,-61.691594
N51,-08.521243,-61.692363
N52,-08.534322,-61.692739
N04,-08.497171,-61.674471
N05,-08.509618,-61.676404
N06,-08.522403,-61.678527
N15,-08.503889,-61.644869
EX01,-08.494503,-61.637295
EX02,-08.496029,-61.653348
N55,-08.439268,-61.686776
N56,-08.430138,-61.695426
EX03,-08.446277,-61.658580
